Sequence,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,Azospirillum sp.
ASV_2,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-004  ,uncultured organism
ASV_3,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_4,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_5,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,human gut
ASV_6,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Oscillibacter   ,human gut
ASV_7,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides massiliensis
ASV_8,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,CAG-352   ,NA
ASV_9,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,Eubacterium ramulus
ASV_10,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured Veillonellaceae
ASV_11,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,NA,NA
ASV_12,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_13,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,uncultured Flavonifractor
ASV_14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_15,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,uncultured bacterium
ASV_16,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Frisingicoccus   ,uncultured organism
ASV_17,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,uncultured organism
ASV_18,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured rumen
ASV_19,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_20,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Turicibacter   ,NA
ASV_21,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_22,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ventriosum group ,uncultured bacterium
ASV_23,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,uncultured Spirochaetales
ASV_24,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_25,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales  ,Victivallaceae  ,Victivallis   ,uncultured bacterium
ASV_26,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,uncultured prokaryote
ASV_27,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_28,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Enterococcaceae  ,Enterococcus   ,Enterococcus durans
ASV_29,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ventriosum group ,uncultured organism
ASV_30,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_31,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_32,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_33,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,uncultured Blautia
ASV_34,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium aldenense
ASV_35,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,uncultured organism
ASV_36,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,gut metagenome
ASV_37,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,uncultured Blautia
ASV_38,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides goldsteinii
ASV_39,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,metagenome 
ASV_40,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-004  ,uncultured organism
ASV_41,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus gauvreauii group ,uncultured Clostridiales
ASV_42,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_43,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_44,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_45,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-004  ,uncultured organism
ASV_46,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-003   ,metagenome 
ASV_47,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Bilophila   ,Bilophila wadsworthia
ASV_48,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured Firmicutes
ASV_49,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,bacterium NLAE-zl-G121
ASV_50,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured Veillonellaceae
ASV_51,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,uncultured bacterium
ASV_52,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Bilophila   ,Bilophila wadsworthia
ASV_53,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Streptococcus   ,Streptococcus salivarius
ASV_54,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ventriosum group ,uncultured organism
ASV_55,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Parasutterella   ,uncultured organism
ASV_56,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides massiliensis
ASV_57,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,NA,NA,NA
ASV_58,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured organism
